week,Sum of anticipation,Sum of sadness,Sum of joy,Sum of negative,Sum of trust,Sum of positive,Sum of surprise,Sum of disgust,Sum of anger,Sum of fear,modified_positive,modified_negative
1,0.083333333,0,0,0,0.041666667,0.041666667,0.041666667,0,0,0,0.208333333,0
2,0.023809524,0,0,0.023809524,0,0.023809524,0,0,0.023809524,0.023809524,0.047619048,0.071428571
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0.033333333,0,0,0,0,0,0,0,0,0,0.033333333,0
5,0.13125,0.043595679,0.03125,0.012345679,0.043595679,0.147299383,0.160416667,0.097916667,0.074845679,0.097916667,0.513811728,0.32662037
6,0.03992674,0.070584488,0.025641026,0.012820513,0,0.041391941,0.027106227,0.03992674,0.069119287,0.027106227,0.134065934,0.219557254
7,0,0.03030303,0,0.03030303,0.03030303,0.03030303,0,0,0.03030303,0,0.060606061,0.090909091
8,0,0,0,0,0,0.022727273,0,0,0,0,0.022727273,0
9,0.028571429,0.023255814,0,0,0.023255814,0.057142857,0.075083056,0.028571429,0.028571429,0.028571429,0.184053156,0.1089701
10,0.037037037,0,0,0,0,0.15978836,0.056349206,0,0.027777778,0,0.253174603,0.027777778
11,0.079627215,0,0,0.050847458,0.016949153,0.153131489,0.096576368,0.079627215,0.0941124,0.079627215,0.346284224,0.304214288
12,0.032258065,0,0,0,0.015384615,0.063027295,0.04764268,0.032258065,0.030769231,0.032258065,0.158312655,0.09528536
13,0.03125,0,0,0,0,0.03125,0,0,0,0.03125,0.0625,0.03125
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.026315789,0,0,0,0.026315789,0,0,0.026315789,0,0.026315789,0.052631579
16,0.045454545,0,0,0,0,0.045454545,0.090909091,0,0,0.045454545,0.181818182,0.045454545
17,0.148717949,0,0,0.015384615,0,0.282051282,0,0.133333333,0.015384615,0.133333333,0.430769231,0.297435897
18,0,0.069767442,0,0.046511628,0.046511628,0.023255814,0.023255814,0,0.069767442,0,0.093023256,0.186046512
19,0,0.021276596,0,0.021276596,0,0.063829787,0.021276596,0.021276596,0.021276596,0,0.085106383,0.085106383
20,0.032258065,0,0,0,0,0.064516129,0.032258065,0,0,0,0.129032258,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0.066666667,0.022222222,0,0,0,0.088888889,0
23,0.022727273,0.047619048,0,0.047619048,0.047619048,0.113636364,0,0,0.047619048,0.022727273,0.183982684,0.165584416
24,0.05,0,0,0,0,0.05,0.075,0.025,0.025,0.05,0.175,0.1
25,0,0,0,0.028571429,0,0,0.028571429,0.028571429,0.028571429,0,0.028571429,0.085714286
26,0.032258065,0,0,0,0,0.064516129,0.064516129,0.032258065,0,0.032258065,0.161290323,0.064516129
27,0.099538867,0.110144928,0,0.155599473,0.116205534,0.116205534,0.039393939,0,0.166205534,0.022727273,0.371343874,0.454677207
28,0,0,0,0,0,0.114285714,0.066666667,0.015873016,0.058823529,0,0.180952381,0.074696545
29,0.038461538,0.019230769,0.019230769,0,0,0.076923077,0.019230769,0.019230769,0.038461538,0.019230769,0.153846154,0.096153846
30,0.069767442,0,0.023255814,0.023255814,0.046511628,0.046511628,0.023255814,0,0.046511628,0.023255814,0.209302326,0.093023256
31,0,0.019230769,0.019230769,0.071862348,0,0.038461538,0.019230769,0,0.091093117,0,0.076923077,0.182186235
32,0,0,0,0,0,0.028571429,0,0,0,0.028571429,0.028571429,0.028571429
33,0.140909091,0,0,0,0.033333333,0.05,0.053703704,0,0.016666667,0,0.277946128,0.016666667
34,0.036363636,0,0.018181818,0.018181818,0,0.090909091,0.018181818,0,0,0.018181818,0.163636364,0.036363636
35,0.069844789,0,0,0,0,0.069844789,0.069844789,0,0.034482759,0.045454545,0.209534368,0.079937304
36,0.053741497,0,0,0,0,0,0.020408163,0,0,0,0.07414966,0
37,0,0.025,0,0.025,0.025,0.05,0,0,0.025,0,0.075,0.075
38,0.121471471,0.022222222,0.011111111,0.011111111,0.047222222,0.069444444,0.058333333,0.036111111,0.047222222,0.025,0.307582583,0.141666667
39,0.14004386,0.00877193,0.00877193,0,0.029605263,0.120116323,0.123522121,0.020833333,0.00877193,0.040833333,0.422059497,0.079210526
40,0.09196546,0.016949153,0,0,0.030647783,0.112165135,0.108914613,0.01369863,0.030647783,0.07826683,0.343692991,0.139562396
41,0,0,0,0,0,0.079059829,0.025641026,0.027777778,0,0.053418803,0.104700855,0.081196581
42,0.111111111,0.025641026,0,0.025641026,0.025641026,0.051282051,0.034482759,0,0.025641026,0,0.222516947,0.076923077
Grand_total,1.825031335,0.579908682,0.156673237,0.620141109,0.619452422,2.685560909,1.5436605,0.652264175,1.202771007,0.959252957,6.830378403,4.01433793
