article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/7bdd8874-cc41-504e-9ed7-5a1bfecd5d35,2018/11/6,2018-45,b'Was Amazon\xe2\x80\x99s Headquarters Contest a Bait-and-Switch? Critics Say Yes',https://www.nytimes.com/2018/11/06/technology/amazon-hq2-long-island-city-virginia.html,SAN FRANCISCO — What a farce.,0,0,0,0,0,0,0,0,0,0
nyt://article/a44f31db-6946-510c-a93a-0909b63ca0b6,2018/11/6,2018-45,"b'Amazon Plans to Split HQ2 Between Long Island City, N.Y., and Arlington, Va.'",https://www.nytimes.com/2018/11/05/technology/amazon-second-headquarters-split.html,"SEATTLE — After conducting a yearlong search for a second home, Amazon has switched gears and is now finalizing plans to have a total of 50,000 employees in two locations, according to people familiar with the decision-making process.",0.026315789,0,0,0,0,0.026315789,0,0,0,0
nyt://article/f147e305-8dca-5482-9397-719ddbabeab8,2018/11/7,2018-45,b'Losers in Amazon Sweepstakes Aren\xe2\x80\x99t Ready to Throw In the Towel',https://www.nytimes.com/2018/11/06/technology/amazon-hq2-losers.html,SAN FRANCISCO — Chicago offered $2 billion in tax breaks. North Carolina wrapped buses in Seattle with a pitch for Raleigh. A Philadelphia coffee chain printed the Amazon logo into the foam of its lattes.,0,0,0,0.028571429,0,0,0,0,0.028571429,0
nyt://article/7d1e968b-e06f-513f-9031-ea0a1d9d2f02,2018/11/7,2018-45,b'Visions of a Tech Hub? Landing Amazon Is Just a Start',https://www.nytimes.com/2018/11/06/business/economy/amazon-hq2-lic-virginia-economy.html,"When Amazon announced plans to build a second headquarters somewhere in North America, it set off a competition for a sort of new-economy golden ticket, a chance for one city to become, almost overnight, a magnet for the high-paying jobs and entrepreneurial spark that are hallmarks of urban success in the 21st century.",0.018867925,0,0,0,0,0.056603774,0.037735849,0.018867925,0.018867925,0.018867925
nyt://article/3e45a203-2a2d-53a9-aa54-4dc5acf1d31d,2018/11/7,2018-45,b'What We Don\xe2\x80\x99t Know About Amazon\xe2\x80\x99s Split HQ2',https://www.nytimes.com/2018/11/07/technology/amazon-hq2-know.html,"SEATTLE — For more than a year, Amazon searched for a second headquarters, a home to as many as 50,000 workers that would be coequal to its current home in Seattle. Instead, Amazon is closing in on deals to split what it called HQ2 into two locations, according to people briefed on the discussions. The company appears ready to move to Long Island City in Queens, according to two of the people. It is also close to a deal to move to a spot in Arlington, Va., just across the Potomac River from Washington, one of the people said.",0.01010101,0,0,0,0,0.01010101,0.02020202,0.01010101,0.01010101,0.01010101
nyt://article/8e8732b8-67ab-5889-8e8e-413e96279d46,2018/11/9,2018-45,b'New York Should Say No to Amazon',https://www.nytimes.com/2018/11/09/opinion/amazon-new-york-business.html,"This week, word leaked that Amazon may be close to finalizing a deal to set up a major operation in Long Island City, Queens. The news, which was embraced with peak sycophancy by Gov. Andrew Cuomo — he literally offered to change his name to “Amazon Cuomo” to make it happen — came with a slap in the face to New York and every other state that bid for this deal. ",0.042253521,0.014084507,0,0,0.028169014,0.042253521,0.028169014,0.028169014,0.014084507,0.014084507
nyt://article/2f231576-1a5a-509b-b604-495113d48d29,2018/11/13,2018-46,b'Dominating Retail? Yes. Reviving a City? No Thanks.',https://www.nytimes.com/2018/11/13/upshot/amazon-headquarters-reviving-a-city-no-thanks.html,"Amazon could have transformed a city. It could have created 50,000 high-paying jobs in a place with higher-than-average unemployment. It could have become the largest employer in a midsize city, or the central player in a new regional tech hub. ",0,0,0,0,0,0,0,0,0.025,0
nyt://article/ec6b2e6e-89b3-5b7a-8ce7-1632feeaaa17,2018/11/13,2018-46,"b'Before a Deal, Amazon Had to Know: Could Cuomo and De Blasio Get Along?'",https://www.nytimes.com/2018/11/13/technology/amazon-hq2-headquarters.html,"On a late October day, Amazon executives flew to New York to answer a final question before they committed to opening a massive technology center in Queens: Could Gov. Andrew M. Cuomo and Mayor Bill de Blasio stop bickering long enough to see the project through?",0.043478261,0.02173913,0.02173913,0.02173913,0,0.086956522,0.02173913,0,0.043478261,0
nyt://article/1bad7f97-bb03-5696-af6c-c51ab83a111d,2018/11/13,2018-46,"b'With Hoopla and Murals, Crystal City Welcomes Amazon'",https://www.nytimes.com/2018/11/13/business/national-landing-amazon-va.html,"ARLINGTON, Va. — Over the past few months, murals had started appearing on a fence surrounding an empty brick warehouse in the Crystal City neighborhood of Arlington. Sporting geometric shapes and adorned with hanging bicycles, the murals also displayed aspirational slogans in big black letters like “What If?” and “Why Not?”",0,0.019607843,0.019607843,0.039215686,0.019607843,0,0.019607843,0,0.039215686,0
nyt://article/85fb4f03-c15b-5c7b-a916-d374a4b65044,2018/11/14,2018-46,b'Amazon HQ2: How New York and Virginia Won the Beauty Contest ',https://www.nytimes.com/2018/11/14/technology/amazon-hq2-newyork-virginia-recap.html,"After 14 months of pitches, meetings and offers of incentives and name changes, Amazon announced on Tuesday that its second headquarters would be on two sites: one in Long Island City, Queens, and another in Arlington, Va. The company is also developing a smaller operations and logistics facility in Nashville. ",0,0,0,0,0,0,0,0,0,0
