article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/2b0152cf-932b-5267-8a95-f656cce44077,2018/11/6 0:00,2018-45,b'Facebook Admits It Was Used to Incite Violence in Myanmar',https://www.nytimes.com/2018/11/06/technology/myanmar-facebook.html,"Facebook has long promoted itself as a tool for bringing people together to make the world a better place. Now the social media giant has acknowledged that in Myanmar it did the opposite, and human rights groups say it has a lot of work to do to fix that.",0,0,0,0,0.020408163,0,0.020408163,0,0,0
nyt://article/5f8f1936-6980-57dd-8413-83cbf340f8cd,2018/11/16 0:00,2018-46,b'\xe2\x80\x98Facebook Cannot Be Trusted to Regulate Itself\xe2\x80\x99',https://www.nytimes.com/2018/11/15/opinion/facebook-data-congress-russia-election.html,"“Facebook cannot be trusted to regulate itself,” tweeted Rhode Island Representative David Cicilline on Wednesday night.",0,0,0,0,0,0.0625,0,0,0,0
nyt://article/71ad4521-ffab-589f-89af-f743428189f6,2018/11/17 0:00,2018-46,b'How Plato Foresaw Facebook\xe2\x80\x99s Folly',https://www.nytimes.com/2018/11/16/opinion/facebook-zuckerberg-investigation-election.html,In ancient Egypt there lived a wise king named Thamus. One day he was visited by a clever god called Theuth.,0.047619048,0,0,0,0.047619048,0.19047619,0.047619048,0,0.047619048,0.047619048
nyt://article/940fa4e0-e597-53d9-b3d1-e426d0463690,2018/11/16 0:00,2018-46,b'Democrats Should Un-Friend Facebook',https://www.nytimes.com/2018/11/16/opinion/facebook-mark-zuckerberg-sheryl-sandberg-silicon-valley-antitrust.html,"In their recent book “LikeWar: The Weaponization of Social Media,” P.W. Singer and Emerson T. Brooking describe the surprising role of online communication in spurring gang violence in Chicago. They quote Chicago Alderman Joe Moore saying that, contrary to popular belief, most gang disputes begin not with conflict over drug sales or territory, but with insults hurled on the internet. (Slang terms for online threats, the authors report, include “Facebook drilling” and “wallbanging.”) According to Singer and Brooking, “80 percent of the fights that break out in Chicago schools are now instigated online.”",0.010752688,0.043010753,0,0.021505376,0.043010753,0.021505376,0.010752688,0.032258065,0.064516129,0
nyt://article/41c02d43-addb-589c-a49d-1db30724d4f7,2018/11/16 0:00,2018-46,b'How Facebook Has Handled Recent Scandals',https://www.nytimes.com/2018/11/16/opinion/letters/facebook-scandals.html,To the Editor:,0,0,0,0,0,0,0,0,0,0
nyt://article/5e9c7c53-fa75-59a8-8d44-8e6117409c65,2018/11/13 0:00,2018-46,b'Facebook Failed to Police How Its Partners Handled User Data',https://www.nytimes.com/2018/11/12/technology/facebook-data-privacy-users.html,"Facebook failed to closely monitor device makers after granting them access to the personal data of hundreds of millions of people, according to a previously unreported disclosure to Congress last month.",0.032258065,0,0,0,0,0,0,0,0,0
nyt://article/b5c7dd41-56b4-523c-9992-042cbfa996fd,2018/11/15 0:00,2018-46,b'Facebook and the Fires',https://www.nytimes.com/2018/11/15/opinion/california-fires-facebook-kara-swisher.html,"When I flew into San Francisco last Sunday, the haze shrouding the city was not the usual charming fog, and there was an acrid smell, like a barbecue on steroids. California was on fire.",0.029411765,0,0,0,0.029411765,0.058823529,0,0,0.029411765,0
nyt://article/999713eb-8f39-5e00-84ed-d9ff6a208ecd,2018/11/17 0:00,2018-46,b'How to Make Facebook\xe2\x80\x99s \xe2\x80\x98Supreme Court\xe2\x80\x99 Work',https://www.nytimes.com/2018/11/17/opinion/facebook-supreme-court-speech.html,"Facebook’s chief executive, Mark Zuckerberg, has announced a plan to create an independent body to make decisions about what kinds of content his site’s users will be allowed to post. It’s a development that he hinted at when he said on a podcast in April, “You can imagine some sort of structure, almost like a Supreme Court, that is made up of independent folks who don’t work for Facebook, who ultimately make the final judgment call on what should be acceptable speech in a community that reflects the social norms and values of people all around the world.”",0.010204082,0,0,0,0,0.06122449,0.020408163,0.010204082,0,0.020408163
nyt://article/0670b72e-8ceb-54b8-8861-bf628ca2dbf5,2018/11/22 0:00,2018-47,"b'On Thanksgiving Eve, Facebook Acknowledges Details of Times Investigation'",https://www.nytimes.com/2018/11/22/business/on-thanksgiving-eve-facebook-acknowledges-details-of-times-investigation.html,"Joining a long tradition of companies and campaigns that drop bad news on holidays, Facebook on Thanksgiving eve took responsibility for hiring a Washington-based lobbying company, Definers Public Affairs, that pushed negative stories about Facebook’s critics, including the philanthropist George Soros.",0.024390244,0.024390244,0.024390244,0.048780488,0.024390244,0.048780488,0.024390244,0,0.048780488,0
nyt://article/7637b4b5-d619-50f2-ad30-e99bdb2d6363,2018/11/30 0:00,2018-48,b'The Week in Tech: Facebook\xe2\x80\x99s Three Big Problems',https://www.nytimes.com/2018/11/30/technology/week-in-tech-facebook-problems.html,"Each week, technology reporters and columnists from The New York Times review the week’s news, offering analysis and maybe a joke or two about the most important developments in the tech industry. Want this newsletter in your inbox? Sign up here.",0.048780488,0,0,0,0,0.048780488,0,0,0.024390244,0
nyt://article/1de92f40-1556-5cc9-b0c4-b7cfe5765b1e,2018/12/5 0:00,2018-49,"b'Facebook Used People\xe2\x80\x99s Data to Favor Certain Partners and Punish Rivals, Documents Show'",https://www.nytimes.com/2018/12/05/technology/facebook-documents-uk-parliament.html,"LONDON — Facebook used the mountains of data it collected on users to favor certain partners and punish rivals, giving companies such as Airbnb and Netflix special access to its platform while cutting off others that it perceived as threats.",0,0.025,0.025,0.025,0.05,0.05,0,0,0.05,0.025
nyt://article/38756d2f-eadf-50b3-9927-aa4a9b53422e,2018/12/13 0:00,2018-50,"b'Congress May Have Fallen for Facebook\xe2\x80\x99s Trap, but You Don\xe2\x80\x99t Have To'",https://www.nytimes.com/2018/12/12/opinion/facebook-data-privacy-advertising.html,"In recent weeks, Facebook confronted yet another privacy scandal, in light of leaked court documents suggesting that its staff discussed the idea of selling user data as long ago as 2012. Facebook's director of developer platforms and programs, Konstantinos Papamiltiadis, responded, “To be clear, Facebook has never sold anyone’s data.” It was the same denial that Mark Zuckerberg issued before the Senate in April 2018: “We do not sell data to advertisers. We don’t sell data to anyone.”",0.012820513,0.012820513,0,0,0.012820513,0.012820513,0.025641026,0,0.012820513,0
nyt://article/d3c15dbc-6c8f-5fac-9a1d-46a4a4cf52ac,2018/12/19 0:00,2018-51,b'How to Delete Facebook',https://www.nytimes.com/2018/12/19/business/delete-facebook-account.html,You may have decided enough is enough: It’s time to delete Facebook.,0,0,0,0,0,0,0.083333333,0,0,0
