article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/d3aa8a37-e69f-5c90-bba2-ef0749f7d7ec,2018/11/1 0:00,2018-44,b'Google Walkout: Employees Stage Protest Over Handling of Sexual Harassment',https://www.nytimes.com/2018/11/01/technology/google-walkout-sexual-harassment.html,"In New York, more than 3,000 gathered in a city park and carried signs that said, “O.K. Google, really?” In Dublin, dozens filled a sidewalk. And in Silicon Valley, thousands poured out of office buildings into a common outdoor area and chanted: “Stand up! Fight back!”",0,0,0,0,0,0,0,0,0,0
nyt://article/06f4ba41-7d23-5ea2-8c31-519a9a275020,2018/11/2 0:00,2018-44,b'Senior Google Lobbyist Is Stepping Down From Her Role',https://www.nytimes.com/2018/11/02/technology/google-susan-molinari-quits-walkout-harassment.html,"WASHINGTON — Susan Molinari, who leads Google’s federal lobbying and policy effort and is a former Republican congresswoman from New York, is stepping down from her role at the company.",0.033333333,0,0,0,0,0.033333333,0,0,0,0
nyt://video/3773e4af-94b1-53bd-9a83-643189f41a2e,2018/11/1 0:00,2018-44,b'Google Employees Stage Worldwide Walkout',https://www.nytimes.com/video/technology/100000006192998/google-walkout-sexual-harassment.html,Workers are protesting the company’s handling of sexual harassment. The walkouts followed a New York Times report that the tech giant paid millions of dollars in exit packages to male executives accused of harassment.,0,0.029411765,0,0,0.058823529,0,0,0,0.029411765,0
nyt://article/1b691c0a-86dd-5ab2-b657-a02d7ded9d2a,2018/11/8 0:00,2018-45,b'Google Overhauls Sexual Misconduct Policy After Employee Walkout',https://www.nytimes.com/2018/11/08/technology/google-arbitration-sexual-harassment.html,"SAN FRANCISCO — Google said on Thursday that it would end its practice of forced arbitration for claims of sexual harassment or assault after more than 20,000 employees staged a walkout last week to protest how the internet company handles cases of sexual misconduct.",0,0.022727273,0,0,0.045454545,0.022727273,0.022727273,0,0.045454545,0
nyt://article/ec568bb7-8807-5951-9795-0bf3b3b73d60,2018/11/7 0:00,2018-45,b'Why the Google Walkout Was a Watershed Moment in Tech',https://www.nytimes.com/2018/11/07/technology/google-walkout-watershed-tech.html,"For a few hours last Thursday, just about everything at Google ground to a halt. At 11 a.m. local time in a movement that rolled like an angry and jubilant tide around the globe, more than 20,000 employees walked out to protest the company’s long history of protecting executives accused of sexual harassment.",0.056603774,0.037735849,0.018867925,0,0.018867925,0.037735849,0.037735849,0.018867925,0.037735849,0.018867925
nyt://article/92c0cad3-0e04-50fc-9ae9-6423f85787dd,2018/11/8 0:00,2018-45,"b'After Paying Off Men Accused of Sexual Harassment, Google Says It Will Meet Many of the Protesters\xe2\x80\x99 Demands '",https://www.nytimes.com/2018/11/08/opinion/google-sexual-harassment-walkout-kara-swisher.html,"One, they said, was a “good guy.” Another didn’t deserve to have his life ruined because of his indiscretion. Still another might walk his giant cache of tech knowledge over to a competitor, and that would not stand.",0.026315789,0.052631579,0.026315789,0.026315789,0.052631579,0.052631579,0.026315789,0,0.026315789,0
nyt://article/7ca224cb-ee03-5478-b351-42793a576d89,2018/11/8 0:00,2018-45,b'Google Is Said to Be Shopping for More Real Estate in New York',https://www.nytimes.com/2018/11/07/technology/google-expansion-new-york.html,SAN FRANCISCO — Amazon may not be the only technology giant considering a big expansion in New York.,0,0,0,0,0.055555556,0.055555556,0,0,0,0
nyt://article/99ac8240-0a1a-5cdc-870c-efcc1cbe5aa7,2018/11/16 0:00,2018-46,b'Google Cloud Executive Who Sought Pentagon Contract Steps Down',https://www.nytimes.com/2018/11/16/technology/diane-greene-google-cloud.html,"SAN FRANCISCO — Diane Greene, whose pursuit of Pentagon contracts for artificial intelligence technology sparked a worker uprising at Google, is stepping down as chief executive of the company’s cloud computing business.",0.03125,0.03125,0,0,0.0625,0.0625,0.03125,0,0.03125,0.03125
nyt://article/e2dd9967-89ca-52c6-92d1-d74cdef3102b,2018/11/14 0:00,2018-46,b'How Google Photos Became a Perfect Jukebox for Our Memories',https://www.nytimes.com/2018/11/14/technology/google-photos-perfect-jukebox-our-memories.html,"The first time Google Photos made me cry, it was with a sucker punch. ",0,0.071428571,0,0,0,0,0.071428571,0,0.071428571,0
nyt://article/cf599403-fa2b-5885-90b0-5d84a8ce1582,2018/11/22 0:00,2018-47,b'Google to Demand More Disclosure From Buyers of European Election Ads',https://www.nytimes.com/2018/11/21/business/google-europe-election-ad-buying.html,"LONDON — Google said on Wednesday that it would begin requiring more information from buyers of online ads linked to next year’s European Parliament elections, expanding a program introduced for political ads in the United States.",0,0,0,0,0,0.027777778,0,0,0,0
